macAdress;timestamp;identificao-mainframe;uso_cpu_total_%;uso_ram_total_%;swap_rate_mbs;tempo_cpu_ociosa;cpu_io_wait;uso_disco_total_%;disco_throughput_mbs;disco_iops_total;disco_read_count;disco_write_count;disco_latencia_ms
166250251803552;27-11-2025 13:42:27;Hideo;29.7;81.6;0.0;46.9;0.0;67.2;115.82;345;342;3;2.9
166250251803552;27-11-2025 13:42:30;Hideo;14.1;86.0;0.0;0.0;0.0;67.2;55.32;1226;1215;11;0.82
166250251803552;27-11-2025 13:42:34;Hideo;7.8;86.7;0.0;0.0;0.0;67.2;35.93;1116;1100;16;0.9
166250251803552;27-11-2025 13:42:37;Hideo;15.6;88.8;0.0;25.0;0.0;67.2;5.49;330;198;132;3.03
166250251803552;27-11-2025 13:42:40;Hideo;3.1;85.7;0.0;64.1;0.0;67.2;2.16;142;142;0;7.05
166250251803552;27-11-2025 13:42:43;Hideo;6.2;86.1;0.0;53.1;0.0;67.2;2.92;328;319;9;3.05
166250251803552;27-11-2025 13:42:46;Hideo;15.6;84.7;0.0;64.1;0.0;67.2;14.75;301;287;14;3.32
166250251803552;27-11-2025 13:42:49;Hideo;7.8;86.8;0.0;73.4;0.0;67.2;23.71;3234;3218;16;0.31
166250251803552;27-11-2025 13:42:52;Hideo;7.8;90.0;0.0;57.8;0.0;67.2;117.75;975;971;4;1.04
166250251803552;27-11-2025 13:42:56;Hideo;9.4;87.7;0.0;51.6;0.0;67.2;71.32;514;389;125;1.95
166250251803552;27-11-2025 13:42:59;Hideo;9.4;88.9;0.0;62.5;0.0;67.2;152.6;3204;2962;242;0.31
166250251803552;27-11-2025 13:43:02;Hideo;26.6;92.1;0.0;18.8;0.0;67.2;75.81;2193;2191;2;0.46
166250251803552;27-11-2025 13:43:05;Hideo;10.9;91.7;0.0;43.8;0.0;67.2;48.42;1385;1242;143;0.72
166250251803552;27-11-2025 13:43:08;Hideo;12.5;90.5;0.0;59.4;0.0;67.2;71.6;1830;1626;204;0.55
166250251803552;27-11-2025 13:43:11;Hideo;7.8;89.6;0.0;57.8;0.0;67.2;42.23;398;55;343;2.51
166250251803552;27-11-2025 13:43:14;Hideo;15.6;84.2;0.0;42.2;0.0;67.2;8.98;448;261;187;2.23
166250251803552;27-11-2025 13:43:17;Hideo;3.1;86.9;0.0;57.8;0.0;67.2;3.56;156;68;88;6.41
166250251803552;27-11-2025 13:43:21;Hideo;12.5;87.4;0.0;53.1;0.0;67.2;49.56;560;493;67;1.79
166250251803552;27-11-2025 13:43:24;Hideo;7.8;88.1;0.0;78.1;0.0;67.2;23.01;36;24;12;27.79
166250251803552;27-11-2025 13:43:27;Hideo;4.7;88.6;0.0;54.7;0.0;67.2;11.21;1207;1155;52;0.83
166250251803552;27-11-2025 13:43:30;Hideo;17.2;89.7;0.0;40.6;0.0;67.2;238.98;497;454;43;2.01
166250251803552;27-11-2025 13:43:33;Hideo;1.6;89.8;0.0;54.7;0.0;67.2;26.42;7284;7268;16;0.14
166250251803552;27-11-2025 13:43:36;Hideo;21.9;91.3;0.0;39.1;0.0;67.2;43.6;1542;1517;25;0.65
166250251803552;27-11-2025 13:43:39;Hideo;20.3;89.9;0.0;48.4;0.0;67.2;2.23;306;211;95;3.27
166250251803552;27-11-2025 13:43:42;Hideo;17.2;87.7;0.0;51.6;0.0;67.2;102.57;1648;1618;30;0.61
166250251803552;27-11-2025 13:43:45;Hideo;6.2;88.8;0.0;65.6;0.0;67.2;21.59;79;63;16;12.67
166250251803552;27-11-2025 13:43:49;Hideo;9.4;89.5;0.0;59.4;0.0;67.2;29.58;300;270;30;3.33
166250251803552;27-11-2025 13:43:52;Hideo;1.6;89.7;0.0;65.6;0.0;67.2;4.94;131;123;8;7.64
166250251803552;27-11-2025 13:43:55;Hideo;3.1;91.2;0.0;67.2;0.0;67.2;2.95;64;40;24;15.63
166250251803552;27-11-2025 13:43:58;Hideo;1.6;91.4;0.0;73.4;0.0;67.2;5.8;908;898;10;1.1
166250251803552;27-11-2025 13:44:01;Hideo;31.2;91.6;0.0;7.8;0.0;67.2;37.93;126;75;51;7.94
166250251803552;27-11-2025 13:44:04;Hideo;4.7;89.6;0.0;70.3;0.0;67.2;1.12;66;17;49;15.16
166250251803552;27-11-2025 13:44:07;Hideo;1.6;87.2;0.0;75.0;0.0;67.2;8.11;76;73;3;13.17
166250251803552;27-11-2025 13:44:10;Hideo;6.2;88.6;0.0;78.1;0.0;67.2;36.46;158;134;24;6.33
