timestamp;identificao-mainframe;uso_cpu_total_%;uso_ram_total_%;swap_rate_mbs;tempo_cpu_ociosa;cpu_io_wait;uso_disco_total_%;disco_throughput_mbs;disco_iops_total;disco_read_count;disco_write_count;disco_latencia_ms
29-09-2025 10:42:01;sem-usuario-logado;6.8;39.6;0.0;48.3;0.0;17.5;2.37;46;46;0;21.78
29-09-2025 10:42:07;sem-usuario-logado;1.7;39.6;0.0;92.4;0.0;17.5;0.31;0;0;0;0.0
29-09-2025 10:42:13;sem-usuario-logado;0.8;39.6;0.0;98.3;0.0;17.5;0.01;33;0;33;30.35
29-09-2025 10:42:19;sem-usuario-logado;0.8;39.4;0.0;98.3;0.0;17.5;0.19;23;0;23;43.54
29-09-2025 10:42:25;sem-usuario-logado;0.8;39.3;0.0;97.5;0.0;17.5;0.0;2;0;2;500.93
29-09-2025 10:42:31;sem-usuario-logado;0.8;39.2;0.0;96.6;0.0;17.5;0.09;0;0;0;0.0
29-09-2025 10:42:37;sem-usuario-logado;0.0;39.1;0.0;99.2;0.0;17.5;0.05;0;0;0;0.0
29-09-2025 10:42:44;sem-usuario-logado;2.5;39.0;0.0;92.4;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:42:50;sem-usuario-logado;2.5;39.0;0.0;92.4;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:42:56;sem-usuario-logado;0.0;39.0;0.0;89.1;0.0;17.5;0.0;36;0;36;27.83
29-09-2025 10:43:02;sem-usuario-logado;1.7;39.0;0.0;85.5;0.0;17.5;0.18;0;0;0;0.0
29-09-2025 10:43:08;sem-usuario-logado;1.7;39.0;0.0;83.2;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:43:14;sem-usuario-logado;0.8;39.1;0.0;98.3;0.0;17.5;0.0;2;0;2;500.63
29-09-2025 10:43:21;sem-usuario-logado;1.7;39.4;0.0;54.2;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:43:27;sem-usuario-logado;0.8;39.1;0.0;98.3;0.0;17.5;0.43;0;0;0;0.0
29-09-2025 10:43:33;sem-usuario-logado;0.0;38.8;0.0;99.2;0.0;17.5;0.0;2;0;2;500.92
29-09-2025 10:43:39;sem-usuario-logado;1.7;38.8;0.0;95.0;0.0;17.5;0.0;2;0;2;500.5
29-09-2025 10:43:45;sem-usuario-logado;1.7;39.4;0.0;92.4;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:43:51;sem-usuario-logado;0.8;39.7;0.0;98.3;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:43:57;sem-usuario-logado;1.7;38.9;0.0;94.1;0.0;17.5;0.23;2;0;2;500.97
29-09-2025 10:44:04;sem-usuario-logado;1.7;38.6;0.0;96.7;0.0;17.5;0.03;27;0;27;37.09
29-09-2025 10:44:10;sem-usuario-logado;0.8;38.6;0.0;97.5;0.0;17.5;0.04;0;0;0;0.0
29-09-2025 10:44:16;sem-usuario-logado;0.9;38.6;0.0;96.6;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:44:22;sem-usuario-logado;0.8;38.5;0.0;98.3;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:44:28;sem-usuario-logado;3.5;38.7;0.0;93.9;0.0;17.5;0.0;2;0;2;500.73
29-09-2025 10:44:34;sem-usuario-logado;0.8;38.7;0.0;98.3;0.0;17.5;0.07;0;0;0;0.0
29-09-2025 10:44:40;sem-usuario-logado;0.8;38.5;0.0;97.5;0.0;17.5;0.21;0;0;0;0.0
29-09-2025 10:44:47;sem-usuario-logado;0.8;38.6;0.0;97.5;0.0;17.5;0.04;1;0;1;1001.33
